,titles,y,price,sales,author
261,Método Financeiro Do Primo Rico,0,53.9,1,Método Financeiro Do Primo Rico
262,Decisões Financeiras Em Condições De Risco:,0,21.9,2,Wharton School e outros
263,PRINCÍPIOS DE ADMINISTRAÇÃO FINANCEIRA,0,8.5,1,"Alexandre Versignassi, Peter Bernstein"
264,os juros subversivos,0,8.5,2,Roberto Assef
265,Medindo E Gerenciando Riscos Operacionais,1,18,1,MICHAEL E PORTER
266,Matemática Comercial e Financeira,1,35,2,Robert W. Johnson
267,Macroeconomia Estatica E Dinanica Fernando T.r. Do Val,1,39.99,1,ELCIO ANIBAL DE LUCCA
268,Finanças Públicas - Teoria e Prática,0,8.5,1,Universidade Corporativa Banco do Brasil
269,Adminitração Financeira,0,21.9,1,Stickney e Weil
270,os  invasores de corpos,0,30,1,Leandro Konder
271,Da Imagem,0,49.99,21,A VIDA E AS AVENTURAS DE NICHOLAS NICKLEBY
272,Do Título,0,19.98,390,A SAGA DO BRUXO GERALT DE RIVIA
273,O CONDE DE MONTE-CRISTO,0,19.98,103,J R R Tolkien
274,A Vida E As Aventuras De Nicholas Nickleby,0,98.67,533,FORREST GUMP
275,"Sangue Dos Elfos, O - The Witcher - Capa Game - Livro 3 - Wm",0,26.1,1,FLORES PARA ALGERNON
276,"Hobbit, O - Harpercollins",0,59.9,1,A PARÁBOLA DO SEMEADOR
277,FORREST GUMP,1,48.9,15,COUNT ZERO
278,FLORES PARA ALGERNON,0,162.84,5,Diana Gabaldon
279,A PARÁBOLA DO SEMEADOR,0,215.97,1,Sarah J. Maas
280,Count Zero,0,47.2,2,John Scalzi
281,Outlander - Ecos Do Futuro - Livro 7 - Arqueiro,1,262.5,2,UMA PROFECIA QUE SE CUMPRE
282,Guerra Do Velho - Aleph,1,229.6,86,Ernest Cline
283,Cavaleiros Do Apocalipse - Aut Paranaense,0,231,70,Douglas Adams
284,Filhos De Sangue E Osso - Livro 1 - Fantastica Rocco,0,223.2,38,Do Título
285,Livro - Jogador N1 + Camiseta Tamanho G,0,74.41,63,Kaui Hart Hemmings
286,Doctor Who. Cidade da Morte,1,24.75,17,Tim Lebbom
287,Do Título,0,24.9,52,Dennis O'Neil
288,Bertrand Brasil,0,249.9,56,E.K. Johnston
289,Record,0,89.9,9,Rick Yancey
290,Os Descendentes,0,20,26,NÃO OLHE!
291,Alien Trilogia,1,33.7,16,Robert Galbraith
292,Star Wars - Art Comics,1,49.9,49,Português
293,Star Wars Ahsoka,1,49.9,88,PETER S. BEAGLE (ORGANIZAÇÃO NEIL GAIMAN)
294,A 5ª Onda 02 - O Mar Infinito - A 5 Onda,0,53.54,21,Luciano Milici
295,NÃO OLHE!,0,31.9,24,Cixin Liu
296,BRANCO LETAL,0,35.9,10,Eduardo Spohr
297,Star Wars - Estrelas Perdidas,1,39.9,17,C.S. Lewis
298,Criaturas estranhas - Histórias selecionadas por Neil Gaima,0,29.72,15,Sarah J. Maas
299,Diario De Um Exorcista - Generale,0,19.9,13,John Sack
300,O Fim da Morte,0,37.45,37,Zecharia Sitchin
301,A batalha do apocalipse,0,34.9,11,Mário de Andrade
302,Além Do Planeta Silencioso - 1º Livro Da Trilogia Cósmica,0,25.11,9,Kaui Hart Hemmings
303,Trono De Vidro 1 - Conheça A Assassina,0,56.9,5,Sarah J. Maas
304,A Conspiração Franciscana,0,22.49,5,John Green
305,O Livro Perdido de Enki,0,24.9,30,DUNA
306,MACUNAÍMA,0,17.9,4,Michael Klastorin
307,Os Descendentes,0,109,6,Robert W. Chambers
308,Coleção Trono De Vidro,0,41.45,17,Sarah J. Maas
309,Cidades De Papel,1,39.9,89,Guillermo Del Toro
310,DUNA,1,49.9,1,Philip Reeve
311,Back To The Future The Ultimate Visual History,1,78.89,2,Traci Chee
312,O Rei de Amarelo,0,129.9,2,Sarah J. Maas
313,"Coleção Trono De Vidro Exceto Volumes 1, 2 E 3",0,39.9,3,Rick Yancey
314,"Labirinto Do Fauno, O - Intrinseca",1,49.9,14,Isaac Asimov
315,Máquinas Mortais,1,74.9,6,Julio Verne
316,Trilogia Mar De Tinta E Ouro Volumes 1 e 2,1,29.9,19,Cassandra Clare
317,Coleção Trono De Vidro 6 Livros - Do Volume 1 ao volume 6,0,19.9,11,Chris Taylor
318,A 5ª Onda  Volumes 1 E 2 -  12 A 17 Anos - A Quinta Onda,0,53.54,2,George R. R. Martin
319,Despertar Dos Deuses,0,39.9,21,C.S. Lewis
320,Coleção Julio Verne,0,19.9,1,Brandon Sanderson
321,Os Artifícios Das Trevas 3 - Rainha Do Ar E Da Escuridão,0,36.45,1,Rick Yancey
322,Como Star Wars Conquistou O Universo,1,49.94,102,Ursula K. Le Guin
323,A Espada Juramentada - Hq - As Crônicas Do Gelo E Fogo,1,69.9,1,Sarah J. Maas
324,Trilogia Cósmica + A Torre Negra,1,49.9,11,Alex Ross e outros
325,Mistborn Nascidos Da Bruma 2 - O Poço Da Ascensão,0,37.19,7,Douglas Adams
326,A 5ª Onda 03 - A Última Estrela,0,109.9,2,J. K. Rouling
327,Os Despossuídos,0,49.45,11,C.S. Lewis
328,Trono De Vidro 3 - Herdeira Do Fogo,0,19.9,20,Fernanda Nia'
329,A Guerra Dos Tronos - Hq - As Crônicas Do Gelo E Fogo,1,89.9,13,Sarah J. Maas
330,O Salmão Da Dúvida,0,49.99,7,Julia Quinn
331,Harry Potter E A Câmara Secreta - Ilustrada Capa Dura,1,206.9,2,Colleen Houck
332,Trilogia Cósmica - C.s. Lewis,0,206.99,3,Chevy Stevens
333,Mensageira da Sorte,0,32,1,Antonio F. Costella
334,Coleção Trono De Vidro Do 1 Ao 6 + Torre do Alvorecer  = 7 Livros,0,103.89,6,Charles Brokaw
335,Os Mistérios de Sir Richard,0,179.9,3,Isaac Asimov
336,A Maldição do Tigre,0,40.9,2,Alyson Noel
337,É Melhor Não Saber,0,150,6,Italo Calvino
338,Patas Na Europa,0,135,10,Lev Tolstói
339,O Código de Atlântida,0,36.89,4,William Gibson
340,Civilizações Extraterrenas Isaac Asimov,1,75,1,Arthur C Clarke
341,CHAMA NEGRA - OS IMORTAIS,0,75,2,Arthur C. Clarke
342,Contos Fantásticos do Século XIX: o fantástico visionário e o fantástico cotidiano,0,38,3,Augusto Cury
343,A Morte de Ivan Ilitch,0,55,1,Günter Grass
344,Neuromancer,1,50,6,Alex Hirsch
345,O Fim da Infancia Arthur C Clarke,1,61,1,J J Benitez
346,O fim da infância,1,42,2,Juliano Righetto
347,Petrus Logus,0,32,1,Daniel Wallace
348,O Tambor,0,28,1,Orlando Paes Filho
349,O DIÁRIO PERDIDO DE GRAVITY FALLS,1,28,4,A SAGA DO BRUXO GERALT DE RIVIA
350,Operacao Cavalo De Troia 9 - Planeta,1,35,3,Stephen Koch
351,A Segunda Aurora,0,25,22,Inglês
352,"Codigo Do Cacador De Recompensa, O - Bertrand",0,15.9,1,Stephen hawking
353,Angus - O Primeiro Guerreiro - Novas Paginas,1,47,2,Português
354,O ponto de ruptura,0,32,20,John Shirley
355,Livro Breves Respostas Para Grandes Questões Stephen Hawking,0,28,5,"Lu, Marie"
356,Almanaque Jedi - Leya,0,130,1,"BRODY, JESSICA"
357,Halo - Broken Circle,0,73.9,2,"GUIN, URSULA K. LE."
358,INDECIFRAVEL - VOL. 2 SERIE INESQUECIVEL,0,39.99,6,Douglas Adams
359,Laranja Mecânica,1,38,1,George R. R. Martin
360,A Forma da Água,1,32,2,MATTLEW REILLY
361,Caçador em Fuga,0,20,1,"Machado, Ana Maria"
362,As Sereias de Titã,0,78,1,TIM DEDOPOLUS
363,A Máquina do Tempo - Edição Especial,1,24.6,2,"ASIMOV, ISAAC"
364,Atlantis,0,30,16,Alan Dean Foster
365,AREA 7,1,43.92,1,Caseen Gaines
366,"Audácia Dessa Mulher, A - 04Ed/19",0,41.82,1,Frank Herbert
367,Star Treek - o Lv Enigmas Spock,1,305,17,Morgan Kass
368,Trilogia da Fundação,1,42.27,2,(Org) Romeu Martins
369,Alien,1,118.69,1,"JOHNSON, MAUREEN"
370,De Volta Para o Futuro - Os Bastidores da Trilogia,1,47.92,1,Chris Colfer
371,Duna,1,30.6,1,"Montgomery, Lucy Maud"
372,The 100 + De Volta + Dia 21,1,31.9,6,"KENNEDY, ELLE"
373,Retrofuturismo,0,27.9,1,"Felippe, Romolu"
374,Cordialmente Cruel,0,20,8,"CADIGAN, PAT"
375,Mais Estranho Que uma Fanfic,0,150,1,"BOND, GWENDA"
376,Anne de Green Gables - 03Ed/18,0,42,1,"VONNEGUT, KURT"
377,The Case - A Busca de Summer e Fitz,0,101.9,53,"HALDEMAN, JOE"
378,"Farol e a Tempestade, O",1,94,2,"GIFFIN, EMILY"
379,Alita : Anjo de Combate,0,43.92,23,"Ribeiro, Fabiane"
380,Stranger Things - Raízes do Mal - Vol. 1,0,47.92,1,"Lewis, C. S."
381,"Sereias de Titã, As",0,57.9,3,"MELO, FABIO DE"
382,Guerra Sem Fim,1,37.6,1,"Mann, Thomas"
383,Tudo Que a Gente Sempre Quis,0,31.9,2,MATT KILLEEN
384,Deus Está ao Telefone - (Pocket),0,31.9,1,"BRAGA, ANA MARIA"
385,Aquela Fortaleza Medonha,0,71.92,1,ERIC PIERI
386,Orfandades - 03Ed/18,0,201,1,DIVERSOS
387,O Eleito,0,47.92,13,Alexandre Dumas
388,"Órfa, Monstra, Espiã",0,13.6,1,John Bunyan
389,À Espera dos Filhos da Luz - 02Ed/19,0,47.92,6,"Lewis, C. S."
390,O Guerreiro do Caminho Vermelho,1,47.9,1,"WEIR, ANDY"
391,Travessias Para a Liberdade,0,45,1,"Kawabata, Yasunari"
392,Box - Cássicos Light,0,32,2,"GRACEFFA, JOEY"
393,O Peregrino - 02Ed/17,0,19.9,11,"NEFFA, LUCIA"
394,Perelandra,0,19.9,1,FRANNY BILLINGSLEY
395,Artemis,0,15,13,"RICH, A.J."
396,O Mestre de Go,0,66,1,Joe Hill
397,Crianças do Eden - Vol. 01,0,150,5,"ROBERTS, NORA"
398,Milagre em Passadouro,0,119,4,Editora Vale Das Letras
399,A Filha do Pântano,0,13,3,"LACHAC, VICTORIA"
400,A Mão Que Tem Alimenta,0,46,2,"GRISHAM, JOHN"
401,Tempo Estranho,0,25.9,1,GUILHERME GONTIJO FLORES
402,Ano Um,0,52.43,2,"JACOB, DIONISIO"
403,Criaturas Magicas Floresta Magica,1,52.99,1,"Dostoiévski, Fiódor"
404,Alma Guerreira,1,35.6,19,"SOUZA, EDSON E BORBA, JOAO"
405,História de Joia,1,18,4,E.K. Johnston
406,"Espada e o Novelo, A - 02Ed/17",0,88,2,Stephen J. Sansweet & Anne Neumann
407,Crime e Castigo - Vermelho,0,42,1,Kaui Hart Hemmings
408,Arco de Fogo,0,48,22,Peter David
409,Um Amor em Movimento,0,54,1,Glen Weldon
410,Star Wars Ahsoka,0,28,2,J. K. Rouling
411,Depois da Terra,1,15,16,James Cameron Wisher Frake
412,"Cruzada Mascarada, A - Pixel",1,379.9,1,Saladin Ahmed
413,Harry Potter e o Prisioneiro De Azkaban - Ilustrado - Capa Dura,1,17,8,Greg Rucka
414,Trilogia Cósmica + A Torre Negra,0,52.9,1,vide descrição
415,The Wise Man's Fear: The Kingkiller Chronicle: Day Two,0,300,17,James Islington
416,Canto Bight (Star Wars): The Last Jedi,0,189,3,Glen Weldon
417,Star Wars: From a Certain Point of View,1,17.9,5,C.S. Lewis
418,Harry Potter e o Prisioneiro De Azkaban - Ilustrado - Capa Dura,1,99,6,Greg Rucka
419,O exterminador do futuro limited edition,1,57,7,Cia das letras
420,Star Wars Guardians of the Whills,1,29,8,Sebastien de Castell
421,he Shadow of What Was Lost (The Licanius Trilogy),0,65,1,Mark Millar
422,Star Wars Rebel Rising,1,35.6,1,Hari Kunzru
423,Knight's Shadow (The Greatcoats),1,61,3,Arthur Matuck...
424,Wrath (The Faithful and the Fallen),0,42,11,Roman Jakobson e Krystyna Pomorska
425,Quando As Estrelas Caem - Novo Conceito,0,25,20,Michael Crichton
426,Batismo De Fogo - The Witcher - Livro 5 - Wmf Martins Fontes,0,24.9,17,E SE O SEU FUTURO FOSSE O PASSADO
427,"Quinta Estacao, A - Colecao Terra Partida- Vol 1 - Morro Bra",0,20,41,THE WITCHER A SAGA DO BRUXO GERALD DE RIVIA VOL UNICO
428,Dentes De Dragao - Arqueiro,0,60,3,VOLUME 4
429,"Espada Do Destino, A - The Witcher - Capa Game - Livro 2 - W",0,43.92,2,J R R Tolkien
430,"Maquina Do Tempo, A - Edicao Comentada - Zahar",0,50,28,XENOGENESE
431,Vikings Berserker - Draco,0,100,1,Stefan Petrucha
432,Xenogenese - Despertar - Vol 1 - Morro Branco,0,10,1,PARAISO PERDIDO
433,"Ilha Do Doutor Moreau, A - Edipro",0,25,1,Felipe Castilho
434,"Guia Oficial De House, O - Best Seller",0,50.32,5,Raphaëlle Giordano
435,Alertas Para Um Et Que Na Terra Ousar Pousar - Aut Paranaens,0,31.92,13,O SEGREDO DE DRULL
436,Assassins Creed - No Interior Do Animus - Pixel,0,143.92,21,Frank Herbert
437,Tropas Estelares - Aleph,1,34.9,38,FILMES GAMES E OS PRINCIPAIS ICONES DA CULTURA POP DOS ANOS 1980 INSPIRADO NO LIVRO JOGADOR N 1 DE ENERST CLINE
438,Princess Vs Witch - Autores,0,54.9,5,Meg Cabot
439,"Era Dos Mortos, A - Livro Seis - Faro",1,34.32,3,CRONICAS DOS MORTOS - PARTE I
440,CALAMIDADE: LIVRO III DA SÉRIE EXECUTORES,0,119.92,1,Do Título
441,Harry Potter E A Pedra Filosofal -edição Ilustrada Capa Dura,1,43.92,2,Do Título
442,"Senhora Do Lago, A - The Witcher - Livro 7 - Wmf Martins Fon",1,32.9,7,Português
443,A ilha dos dissidentes,0,23.9,2,Da Imagem
444,Star Wars. Sombras do Império,1,49.9,7,Nicola Bardola
445,Até Mais E Obrigado Pelos Peixes Vol. 4,0,30,5,VINTE ANOS DEPOIS: EDIÇÃO COMENTADA E ILUSTRADA (CLÁSSICOS ZAHAR)
446,William Shakespeare's,0,30,3,Da Imagem
447,Desafío,0,36.8,1,George Lucas
448,Do Título,0,43.92,1,STAR WARS: O ARQUIVO REBELDE
449,Do Título,0,43.92,1,"Salvador Nogueira , Susana Alexandria"
450,Star Wars a trilogia edição especial,1,59.92,1,Julio Verne Jules
451,Do Título,0,47.92,1,Phil Szostak
452,Jornada Nas Estrelas - O Guia Definitivo Da Saga,1,43.92,2,E.K. Johnston
453,Cordialmente Cruel,0,50.32,1,F. D. Verasztto
454,Livro E Estatueta Yoda,0,39.92,1,Do Título
455,O Segredo das Fadas Livro 1 pla coração do Brasil,0,39.92,1,Chris Taylor
456,Do Título,0,31.92,1,COLLEEN HOUCK
457,AS AVENTURAS DE UM GAROTO DE PROGRAMA,0,47.92,1,LAURELIN PAIGE
458,O Fundo do Céu,0,39.92,4,Margaret Atwood
459,"Audácia Dessa Mulher, A - 04Ed/19",1,43.92,1,James Luceno
460,O Caminho Louco - Guerras do Tarot vol. 1,0,31.12,1,Do Título
461,o mundo do exterminador,1,43.92,2,Tom Angleberger
462,De Volta do Subconsciente,0,39.92,18,Roberto de Sousa Causo
463,Pathfinder Roleplaying Game,0,43.92,1,Trevor Baxendale
464,O mapa dos Ossos,0,47.92,2,Isaac Asimov
465,Do Título,0,39.92,12,James Dashner
466,Maze Runner - Prova De Fogo,1,34.9,2,Do Título
467,LUA NOVA,0,50,17,Do Título
468,os  invasores de corpos,0,25,1,Do Título
469,Do Título,0,135,2,Arthur Conan Doyle e Jules Verne
470,Da Imagem,0,44,1,Da Imagem
471,Do Título,0,78,6,Do Título
472,Respiração Artificial - Ricardo Piglia,0,31.9,1,Julia Quinn
473,MACUNAÍMA,1,32.9,1,Colleen Houck
474,O Fim da Infancia Arthur C Clarke,1,50,3,Doris Lessing
475,O Tambor,1,37.9,1,Smith
476,O BERÇO DOS SUPER-HUMANOS,0,60,1,james frey e nils johnson shelton
477,endgame a chave do ceu - o chamado,0,39,22,Julio Verne
478,Moby Dick,1,230.9,1,DAY
479,O Mundo Virtual - Os Seis Reinos E A Roda Da Vida,1,64.9,3,DAY
480,A Volta Ao Mundo Em 80 Dias,1,125,1,Alphonse Daudet
481,NOVE AMANHÂS,0,30,3,Dan Brown
482,Os Amantes do Ano 3050,0,54.89,1,Philip José Farmer
483,Cidade Submarina,1,90,1,Charlaine Harris
484,"Outros Tempos, Outros Mundos",1,78,1,Asimov
485,Isaac Asimov - Foundation's Edge,1,68,1,"Coleção Argonauta Nº 55, Os Frutos Dourados Do Sol- Ano 1960"
486,Hócus Pocus,0,89,2,Les Martin
487,Clube dos Vampiros,1,30.98,2,Stephenie Meyer
488,Hócus Pocus,0,32,1,L. P. Hartley
489,Veronka Decide Morir Paulo Coelho em Espanhol,0,24,1,Ziraldo
490,Vito Grandam 2ª Edição 1987,0,28,1,Stephenie Meyer
491,ASTRONAUTA ROGER - DIARIO DE BORDO,1,42.6,2,Oliver Bowden
492,Crepúsculo,0,43.92,1,Irving Wallace
493,PIRATAS DE DADOS,1,35.92,1,MONALISA OVERDRIVE
494,Star Wars: A Missão Do Contrabandista,1,50.9,1,Do Título
495,As Meninas - Lygia Fagundes Telles,0,379.9,1,Ray Bradbury
496,Fahrenheit 451,1,52,1,Assis Brasil
497,A Hora dos Ruminantes,0,24,1,Dan Brown
498,FORTALEZA DIGITAL,0,46.5,13,David West Reynolds
499,The Man With The Iron Heart,0,69,2,Don Quijote De La Mancha -cervantes- Real Academia-espanhol
500,Warhammer 40K 30K Age of Sigmar Dungeons & Dragons Zombicide Pathfinder Star Wars DnD D&D RPG Tabletop Wargaming Diorama Terreno Cenário,0,49.9,2,J. K. Rouling
501,Do Título,0,19.9,1,C.S. Lewis
502,As Aventuras De Tom Sawyer,0,15,2,Philip K. Dick
503,A Hospedeira Stephenie Meyer,0,10,1,Ross Mac Donald
504,O Cálculo Com Geometria Analítica Volume  1 E 2,0,25,1,Andreia F. de Souza - Ivete Raffa - Silvia da Silva F. Souza
505,Kit Livros - Concreto Armado - Eu te Amo - Vol. 1 e 2,0,30,2,Stephen Hawking
506,Livro Uma Breve História Tempo Stephen Hawking,1,20,1,TILIBRA
507,Fundamentos De Química Forense: Uma Análise Prática Da Química Que Soluciona Crimes,0,30,1,Luca Bertolini
508,Curso Básico De Mecânica Dos Solos: Com Exercícios Resolvidos,0,35,17,Carlos Manoel Nieble
509,Backlight de TV LED e Redução de Corrente,1,250,1,Luis Carlos Burgos
510,INSPEÇÃO DO TRABALHO,0,44,2,"ARANHA, ÁLVARO ZIMMERMANN / RODRIGUES, MANOEL BENEDITO"
511,Procurando Defeitos no Sinal de TVs LCD e LED,0,17.5,1,LEONARD MLODINOW
512,Trabalhando Com Componentes Smd,1,42,6,Stephen Hawking
513,MOTORES DE COMBUSTAO INTERNA - VOLUME 2,1,155,1,Shin Takahashi
514,Mecânica vetorial para engenheiros (Cinemática e Dinâmica),0,32.9,1,Tetsuya Ishida
515,"CONTABILIDADE EMPRESARIAL - INSTRUMENTOS DE ANALISE, GERENCIA E DECISAO - 18ª ED",0,25,3,Detecção dos Campos Magnéticos Pelos Seres Vivos
516,MAQUINAS ELETRICAS E ACIONAMENTOS,0,21.8,1,Introdução À Relatividade
517,Teoria Eletromagnética - Parte Clássica,1,17,2,"Banov,Marcia Regina"
518,PRINCIPIOS DE REFRIGERAÇAO E AR CONDICIONADO,0,150,89,"OLIVEIRA,"
519,Recrutamento E Selecao Com Foco Na Transformacao Digital,0,500,8,SBM
520,"COLECAO FISICA 3 - ELETROMAGNETISMO, TEORIA E PROBLEMAS RESOLVIDOS",1,22,12,"EINSTEIN, ALBERT"
521,OPERACAO DE CALDEIRAS - 2ª ED,0,22.8,205,SCHWARZA
522,Eletrônica Básica,0,25,155,"TOMA, HENRIQUE EISI"
523,Dominados Pelos Números,0,50,171,"Langhi, Rodolfo"
524,LASERS - NOTAS DE AULA,1,58.9,29,"CATTANI, M"
525,Instrumentacao Industrial,0,64.69,7,"MENDES, IRAN ABREU"
526,SUPERNOVAS & COSMOLOGIA - 2ª ED,1,75,6,"IMPACTO SOCIAL DO PROGRAMA ESPACIAL BRASILEIRO, O"
527,Treinamento Em Quimica - Radioatividade,0,52.9,5,"WEBER, FRI"
528,DESENHO GEOMETRICO  - 3 ª ED,0,24.9,3,"Oliviera, Roberto Dalmo Varallo Lima De"
529,Formacao de Professores No Desenho de Disciplinas E Cursos,0,44,21,"TOMA, HENRIQUE E."
530,Geometria Diferencial Para Fisicos,0,113.9,169,Teoria da Relatividade Geral. Uma Introdução
531,MATEMATICA PARA VENCER - MATEMATICA BASICA COM A TEORIA,0,43.89,1,"SCORZELLI,"
532,ANALISE COMBINATORIA E PROBABILIDADE,0,134.09,4,Alexandre Capelli
533,ELETRONICA DIGITAL,1,48,1,"SANTOS, NELSON"
534,"FISICA MODERNA PARA INICIADOS, INTERESSADOS E AFICIONADOS - VOL. 1",1,105,1,"DORIA, MAU"
535,COLETANEA DE ARTIGOS INTERESSANTES DE MATEMÁTICA ELEMENTAR - MATEMATICA NUMA PERSPECTIVA CONCEITUAL,1,549.45,6,"SANCHES, D."
536,"TEORIA DA RELATIVIDADE ESPECIAL E GERAL, A",1,73.8,1,Luis Carlos Burgos e outro
537,ONDE ESTAREMOS EM 2200?,1,64.9,1,"HELENE,OTAVIANO"
538,ELEMENTOS QUIMICOS E SEUS COMPOSTOS - VOL 3,0,39.9,1,"HELENE, OTAVIANO"
539,Astronomia Na Educacao Infantil E Nos Anos Iniciais Do Ensino Fundamental - Relatos de Professores,1,119.94,1,"ENDLER, ANNA MARIA FREIRE"
540,OSCILADORES HARMONICOS - CLASSICOS E QUANTICOS,1,84,9,"Montenegro, Gildo"
541,"LOGARITMOS (NUMEROS DA RAZAO) - ENFOQUES HISTORICOS, EPISTEMOLOGICOS E ESCOLARES",0,23.9,6,Eduardo Alencar Ciarlini e Rodrigo Cerqueira Ciarlini
542,"IMPACTO SOCIAL DO PROGRAMA ESPACIAL BRASILEIRO, O",0,25.1,6,ENEM VESTIBULARES E CONCURSOS
543,INTRODUCAO A RELATIVIDADE GERAL E A FISICA DE ESTRELAS COMPACTAS,1,27.8,113,Degradação e Estabilização de Polímeros
544,Conteudos Cordiais - Quimica Humanizada Para Uma Escola Sem Mordaca,0,25.1,23,SBM
545,"ESTRUTURA ATOMICA, LIGACOES E ESTEREOQUIMICA - VOL. 1 - 2ª ED",1,19.8,16,Percursos de História da Química
546,Teoria da Relatividade Geral. Uma Introdução,1,58.49,7,Roberto Àvila
547,METEORITOS - COFRES DA NEBULOSA SOLAR,1,74,6,Fundamentos do Refino de Petróleo-Tecnologia e Economia
548,Sensores Industriais,1,179.9,12,"CARVALHO, BENJAMIN DE A."
549,70 PROBLEMAS CABULOSOS DE QUIMICA EM NIVEL IME - ITA,0,26.17,7,"SILVA, ANTONIO CARLOS DA"
550,Ondas E Bits,0,158.9,12,Instalações Hidráulicas Prediais Utilizando Tubos Plásticos
551,Interferencia Eletromagnetica,1,25.48,2,Empatia e História da Matemática
552,Coleção Eletrônica Básica,0,64.89,39,"NUSSENZVEIG, H. MOYSES"
553,UM POUCO DA FISICA DO COTIDIANO - VOLUME  -,0,59.48,12,Luis Carlos Burgos
554,FISICA E ESPORTES,1,243,5,ANTONIO MOLITERNO
555,INTRODUCAO A FISICA DE PARTICULAS,1,380.95,27,"CURI, ADILSON"
556,Inteligencia Visual E 3-D,1,179.54,6,Ricardo Oscar
557,Tópicos de medidas elétricas: Ensaios em transformadores de instrumentação,0,24.9,4,"Langhi, Rodolfo"
558,Degradação e Estabilização de Polímeros,0,59.1,26,FUNDAMENTOS DE FISICA - OPTICA E FISICA MODERNA - VOL. 4 - 10ª ED
559,COLETANEA DE ARTIGOS INTERESSANTES DE MATEMÁTICA ELEMENTAR - MATEMATICA NUMA PERSPECTIVA CONCEITUAL,0,62.95,6,Rafael Trovão
560,Percursos de História da Química,0,135.68,2,MICHIO KAKU
561,Combo TQM Fundamental + TQF (teoria e questões de física),0,75,2,O Que Houve de Errado? Casos de Desastres em Plantas de Processo e Como Eles Poderiam Ter Sido Evit.
562,Fundamentos do Refino de Petróleo-Tecnologia e Economia,0,96.89,2,JUCIMAR PE
563,DESENHO GEOMETRICO  - 3 ª ED,0,59.99,8,Baterias Recarregáveis - Introdução Aos Materiais e Cálculos
564,O PROCESSAMENTO CERAMICO SEM MISTERIO,0,35.27,1,"Gallagher,Lilian Massena"
565,Instalações Hidráulicas Prediais Utilizando Tubos Plásti,0,225,1,Transformações de Fase
566,Empatia e História da Matemática,0,103.89,5,Paulo Roberto dos Santos
567,CURSO DE FISICA BASICA - VOL. 4 - OTICA RELATIVIDADE  FISICA  QUANTICA - 2ª ED,1,94.89,7,Teoria de Campos e A Natureza. Parte Quântica
568,Nobreak,0,82.49,5,Robótica Industrial. Indústria 4.0
569,Caderno de Muro de Arrimo,0,59.49,8,Paulo Roberto dos Santos
570,MINAS A CEU ABERTO - PLANEJAMENTO DE LAVRAS,0,24.9,5,Conhecimentos Gerais de Aeronaves
571,Instrumentacao Industrial,0,150.95,1,Introdução Ao Magnetismo dos Materiais
572,Astronomia Na Educacao Infantil E Nos Anos Iniciais Do Ensino Fundamental - Relatos de Professores,1,126.39,17,Máquinas Térmicas de Fluxo-Cálculos Termodinâmicos e Estruturais
573,Contabilidade Para Igrejas,0,185.16,5,José Luiz Cavalcante
574,FUNDAMENTOS DA FISICA - OPTICA E FISICA MODERNA - VOL. 4 - 10ª ED,1,239.17,1,Paulo Roberto dos Santos
575,TQF - TEORIA E QUESTÕES DE FÍSICA 2° EDIÇÃO,0,128.14,18,Luis Carlos Burgos
576,"O futuro da mente - A busca científica para entender, aprim",0,95.12,14,"REBELLO, YOPANAN CONRADO PEREIRA"
577,O Que Houve de Errado? Casos de Desastres em Plantas de Proc,0,74.9,3,Fundamentos da Conformação Mecânica dos Metais
578,EXPERIMENTOS DE FISICA BASICA -  MECANICA,1,47.9,8,Enio silveira e Cláudio Marques
579,Baterias Recarregáveis - Introdução Aos Materiais e Cálc,0,79.13,4,Andreia F. de Souza
580,Exame de Certificacao Anbima Cpa-10 - Teoria - 4ª Ed.,0,60.94,3,Interferência Eletromagnética
581,Transformações de Fase,0,35,4,O ANDAR DO BÊBADO: COMO O ACASO DETERMINA NOSSAS VIDAS
582,Livros Glossário e Philps TVs LCD,0,21.98,11,Mecânica dos Pavimentos
583,Teoria de Campos e A Natureza. Parte Quântica,1,69.89,3,QUÍMICA GERAL: VOLUME 2
584,Robótica Industrial. Indústria 4.0,1,208.15,35,"O PONTO DE MUTAÇÃO: A CIÊNCIA, A SOCIEDADE E A CULTURA EMERGENTE."
585,Manutenção na Placa da Fonte de TVs LCd e LED,0,33,6,Luis Carlos Burgos
586,Conhecimentos Gerais de Aeronaves,1,49,58,"Montagens Industriais. Planejamento, Execução e Controle"
587,Introdução Ao Magnetismo dos Materiais,1,44.9,3,Organização da Produção em Confecção Têxtil
588,Máquinas Térmicas de Fluxo-Cálculos Termodinâmicos e Est,0,139.32,28,ENEM VESTIBULARES E CONCURSOS
589,Formação de Professores que Ensinam Matemática,0,65.1,20,Processos de Confiabilidade na Indústria de Óleo e Gás
590,Procurando Defeitos na Placa Main e Fontes de TVs LCD LED,1,68.89,4,FARMACOLOGIA ILUSTRADA
591,Arduino Descomplicado e Divertido,0,38,21,Avaliação de Imóveis - Método Involutivo Vertical
592,"FUNDACOES - GUIA PRATICO DE PROJETO, EXECUCAO E DIMENSIONAMENTO",0,34,2,Construções de Concreto. Concreto Protendido - Volume 5
593,Fundamentos da Conformação Mecânica dos Metais,0,33,652,Teoria de Campos e A Natureza. Parte Quântica
